Date;Timestamp;DeviceOrientation;AccelerationX;AccelerationY;AccelerationZ;Label
2022-10-24 02:24:08;1666567448.255402;faceUp;0.0192108154296875;-0.029144287109375;-0.967803955078125;koşu_mert
2022-10-24 02:24:08;1666567448.256988;faceUp;0.0050201416015625;-0.0248870849609375;-0.9949493408203125;koşu_mert
2022-10-24 02:24:08;1666567448.25711;faceUp;0.001495361328125;-0.0273895263671875;-1.003204345703125;koşu_mert
2022-10-24 02:24:08;1666567448.257217;faceUp;0.00146484375;-0.0250091552734375;-1.0066070556640625;koşu_mert
2022-10-24 02:24:08;1666567448.307904;faceUp;0.00225830078125;-0.02447509765625;-1.00189208984375;koşu_mert
2022-10-24 02:24:08;1666567448.357944;faceUp;0.00152587890625;-0.0258331298828125;-1.0039520263671875;koşu_mert
2022-10-24 02:24:08;1666567448.408235;faceUp;0.0013427734375;-0.0252838134765625;-1.004730224609375;koşu_mert
2022-10-24 02:24:08;1666567448.458183;faceUp;0.00286865234375;-0.027313232421875;-1.0023040771484375;koşu_mert
2022-10-24 02:24:08;1666567448.508651;faceUp;0.00054931640625;-0.024200439453125;-1.004486083984375;koşu_mert
2022-10-24 02:24:08;1666567448.5585551;faceUp;0.002410888671875;-0.0255889892578125;-1.00482177734375;koşu_mert
2022-10-24 02:24:08;1666567448.60887;faceUp;0.00360107421875;-0.0256805419921875;-1.0030975341796875;koşu_mert
2022-10-24 02:24:08;1666567448.658825;faceUp;0.002471923828125;-0.02593994140625;-1.0047607421875;koşu_mert
2022-10-24 02:24:08;1666567448.7090812;faceUp;0.0030059814453125;-0.027008056640625;-1.0040740966796875;koşu_mert
2022-10-24 02:24:08;1666567448.759029;faceUp;0.000885009765625;-0.0236968994140625;-1.0026702880859375;koşu_mert
2022-10-24 02:24:08;1666567448.809328;faceUp;0.0;-0.026153564453125;-1.002197265625;koşu_mert
2022-10-24 02:24:08;1666567448.85936;faceUp;0.0025634765625;-0.0261688232421875;-1.0033416748046875;koşu_mert
2022-10-24 02:24:08;1666567448.909637;faceUp;0.001007080078125;-0.0248260498046875;-1.003631591796875;koşu_mert
2022-10-24 02:24:08;1666567448.959585;faceUp;0.00115966796875;-0.028228759765625;-1.003448486328125;koşu_mert
2022-10-24 02:24:08;1666567449.0098538;faceUp;0.0018768310546875;-0.0252838134765625;-1.0022125244140625;koşu_mert
2022-10-24 02:24:08;1666567449.0598512;faceUp;0.0005035400390625;-0.0275726318359375;-1.003265380859375;koşu_mert
2022-10-24 02:24:08;1666567449.110186;faceUp;0.0017852783203125;-0.0258636474609375;-1.0034637451171875;koşu_mert
2022-10-24 02:24:08;1666567449.160101;faceUp;0.0017242431640625;-0.0254974365234375;-1.002227783203125;koşu_mert
2022-10-24 02:24:08;1666567449.2103271;faceUp;0.0025634765625;-0.0254669189453125;-1.0034637451171875;koşu_mert
2022-10-24 02:24:08;1666567449.260433;faceUp;0.00311279296875;-0.0259246826171875;-1.0026702880859375;koşu_mert
2022-10-24 02:24:08;1666567449.3106499;faceUp;0.0004119873046875;-0.0268707275390625;-1.0032958984375;koşu_mert
2022-10-24 02:24:08;1666567449.360605;faceUp;-0.00048828125;-0.0239105224609375;-1.0034942626953125;koşu_mert
2022-10-24 02:24:08;1666567449.410851;faceUp;0.0017852783203125;-0.027130126953125;-1.00433349609375;koşu_mert
2022-10-24 02:24:08;1666567449.4608722;faceUp;0.000579833984375;-0.02490234375;-1.0057830810546875;koşu_mert
2022-10-24 02:24:08;1666567449.511174;faceUp;0.002044677734375;-0.0260162353515625;-1.0030975341796875;koşu_mert
2022-10-24 02:24:08;1666567449.561205;faceUp;0.00286865234375;-0.026336669921875;-1.0034637451171875;koşu_mert
2022-10-24 02:24:08;1666567449.611357;faceUp;-0.000823974609375;-0.026458740234375;-1.0031890869140625;koşu_mert
2022-10-24 02:24:08;1666567449.661384;faceUp;0.0028839111328125;-0.0254364013671875;-1.0036163330078125;koşu_mert
2022-10-24 02:24:08;1666567449.711639;faceUp;0.002349853515625;-0.0255126953125;-1.0032958984375;koşu_mert
2022-10-24 02:24:08;1666567449.761633;faceUp;0.0017547607421875;-0.025482177734375;-1.004638671875;koşu_mert
2022-10-24 02:24:08;1666567449.8118382;faceUp;0.001251220703125;-0.0260162353515625;-1.003509521484375;koşu_mert
2022-10-24 02:24:08;1666567449.861944;faceUp;0.0021209716796875;-0.02545166015625;-1.003326416015625;koşu_mert
2022-10-24 02:24:08;1666567449.912201;faceUp;0.00048828125;-0.0259552001953125;-1.003387451171875;koşu_mert
2022-10-24 02:24:08;1666567449.962246;faceUp;0.0009002685546875;-0.02716064453125;-1.004547119140625;koşu_mert
2022-10-24 02:24:08;1666567450.012313;faceUp;0.002044677734375;-0.023773193359375;-1.0044708251953125;koşu_mert
2022-10-24 02:24:08;1666567450.0623431;faceUp;0.001007080078125;-0.024871826171875;-1.0043487548828125;koşu_mert
2022-10-24 02:24:08;1666567450.112685;faceUp;0.0008392333984375;-0.0265655517578125;-1.002471923828125;koşu_mert
2022-10-24 02:24:08;1666567450.162562;faceUp;0.0029296875;-0.026031494140625;-1.00335693359375;koşu_mert
2022-10-24 02:24:08;1666567450.2128072;faceUp;0.0006561279296875;-0.0243377685546875;-1.0016326904296875;koşu_mert
2022-10-24 02:24:08;1666567450.262908;faceUp;0.000732421875;-0.02593994140625;-1.0040435791015625;koşu_mert
2022-10-24 02:24:08;1666567450.313081;faceUp;0.003173828125;-0.0251922607421875;-1.0021820068359375;koşu_mert
